player,id,score,rank,point,match
1,1009,60,1,4.0,0
2,1014,55,3,2.0,0
3,1020,60,1,4.0,0
4,1514,51,4,1.0,0
1,1009,61,1,5.0,1
2,1014,48,3,2.0,1
3,1020,36,4,1.0,1
4,1514,58,2,3.0,1
1,1009,55,2,3.0,2
2,1014,28,4,1.0,2
3,1020,64,1,5.0,2
4,1514,49,3,2.0,2
1,1009,52,3,1.5,3
2,1014,52,3,1.5,3
3,1020,60,1,4.0,3
4,1514,60,1,4.0,3
1,1009,59,2,3.0,4
2,1014,64,1,5.0,4
3,1514,38,4,1.0,4
4,1020,53,3,2.0,4
1,1009,32,4,1.0,5
2,1014,63,1,5.0,5
3,1514,56,3,2.0,5
4,1020,60,2,3.0,5
1,1009,57,2,2.5,6
2,1014,57,2,2.5,6
3,1514,64,1,5.0,6
4,1020,39,4,1.0,6
1,1009,59,3,2.0,7
2,1014,47,4,1.0,7
3,1514,63,2,3.0,7
4,1020,64,1,5.0,7
1,1009,55,1,4.0,8
2,1020,55,1,4.0,8
3,1014,50,4,1.0,8
4,1514,52,3,2.0,8
1,1009,49,3,2.0,9
2,1020,38,4,1.0,9
3,1014,58,2,3.0,9
4,1514,64,1,5.0,9
1,1009,49,4,1.0,10
2,1020,51,3,2.0,10
3,1014,52,1,4.0,10
4,1514,52,1,4.0,10
1,1009,63,2,3.0,11
2,1020,40,4,1.0,11
3,1014,64,1,5.0,11
4,1514,41,3,2.0,11
1,1009,64,1,4.0,12
2,1020,40,4,1.0,12
3,1514,52,3,2.0,12
4,1014,64,1,4.0,12
1,1009,56,2,3.0,13
2,1020,24,4,1.0,13
3,1514,64,1,5.0,13
4,1014,44,3,2.0,13
1,1009,62,3,2.0,14
2,1020,52,4,1.0,14
3,1514,64,1,4.0,14
4,1014,64,1,4.0,14
1,1009,55,3,2.0,15
2,1020,45,4,1.0,15
3,1514,56,1,4.0,15
4,1014,56,1,4.0,15
1,1009,49,2,3.0,16
2,1514,48,3,2.0,16
3,1014,50,1,5.0,16
4,1020,47,4,1.0,16
1,1009,59,3,2.0,17
2,1514,64,1,5.0,17
3,1014,63,2,3.0,17
4,1020,44,4,1.0,17
1,1009,56,2,3.0,18
2,1514,52,3,2.0,18
3,1014,63,1,5.0,18
4,1020,49,4,1.0,18
1,1009,51,3,2.0,19
2,1514,52,2,3.0,19
3,1014,59,1,5.0,19
4,1020,46,4,1.0,19
1,1009,54,3,2.0,20
2,1514,45,4,1.0,20
3,1020,64,1,5.0,20
4,1014,56,2,3.0,20
1,1009,60,2,2.5,21
2,1514,64,1,5.0,21
3,1020,60,2,2.5,21
4,1014,48,4,1.0,21
1,1009,52,2,3.0,22
2,1514,31,4,1.0,22
3,1020,63,1,5.0,22
4,1014,50,3,2.0,22
1,1009,53,3,2.0,23
2,1514,59,1,5.0,23
3,1020,55,2,3.0,23
4,1014,52,4,1.0,23
1,1014,64,1,5.0,24
2,1009,35,4,1.0,24
3,1020,48,3,2.0,24
4,1514,63,2,3.0,24
1,1014,56,2,3.0,25
2,1009,35,3,1.5,25
3,1020,60,1,5.0,25
4,1514,35,3,1.5,25
1,1014,49,3,2.0,26
2,1009,44,4,1.0,26
3,1020,53,2,3.0,26
4,1514,60,1,5.0,26
1,1014,52,2,3.0,27
2,1009,48,3,1.5,27
3,1020,48,3,1.5,27
4,1514,63,1,5.0,27
1,1014,64,1,4.0,28
2,1009,48,4,1.0,28
3,1514,64,1,4.0,28
4,1020,56,3,2.0,28
1,1014,63,1,5.0,29
2,1009,56,3,2.0,29
3,1514,43,4,1.0,29
4,1020,62,2,3.0,29
1,1014,57,1,5.0,30
2,1009,52,4,1.0,30
3,1514,56,2,2.5,30
4,1020,56,2,2.5,30
1,1014,60,2,3.0,31
2,1009,64,1,5.0,31
3,1514,33,4,1.0,31
4,1020,59,3,2.0,31
1,1014,51,4,1.0,32
2,1020,54,2,3.0,32
3,1009,52,3,2.0,32
4,1514,56,1,5.0,32
1,1014,44,3,1.5,33
2,1020,44,3,1.5,33
3,1009,60,1,5.0,33
4,1514,55,2,3.0,33
1,1014,58,3,2.0,34
2,1020,40,4,1.0,34
3,1009,60,2,3.0,34
4,1514,64,1,5.0,34
1,1014,60,2,3.0,35
2,1020,52,4,1.0,35
3,1009,64,1,5.0,35
4,1514,54,3,2.0,35
1,1014,48,3,2.0,36
2,1020,47,4,1.0,36
3,1514,60,1,5.0,36
4,1009,57,2,3.0,36
1,1014,60,1,4.0,37
2,1020,60,1,4.0,37
3,1514,58,3,2.0,37
4,1009,52,4,1.0,37
1,1014,43,2,3.0,38
2,1020,41,3,2.0,38
3,1514,47,1,5.0,38
4,1009,40,4,1.0,38
1,1014,51,3,2.0,39
2,1020,48,4,1.0,39
3,1514,59,1,5.0,39
4,1009,56,2,3.0,39
1,1014,59,3,2.0,40
2,1514,60,2,3.0,40
3,1009,64,1,5.0,40
4,1020,35,4,1.0,40
1,1014,53,3,2.0,41
2,1514,63,1,5.0,41
3,1009,48,4,1.0,41
4,1020,56,2,3.0,41
1,1014,38,4,1.0,42
2,1514,49,3,2.0,42
3,1009,56,1,5.0,42
4,1020,52,2,3.0,42
1,1014,36,4,1.0,43
2,1514,63,2,3.0,43
3,1009,56,3,2.0,43
4,1020,64,1,5.0,43
1,1014,64,1,5.0,44
2,1514,47,4,1.0,44
3,1020,51,3,2.0,44
4,1009,58,2,3.0,44
1,1014,62,1,5.0,45
2,1514,57,2,3.0,45
3,1020,46,4,1.0,45
4,1009,48,3,2.0,45
1,1014,59,2,3.0,46
2,1514,64,1,5.0,46
3,1020,44,3,2.0,46
4,1009,32,4,1.0,46
1,1014,56,2,3.0,47
2,1514,54,3,2.0,47
3,1020,60,1,5.0,47
4,1009,52,4,1.0,47
1,1020,45,3,2.0,48
2,1009,58,2,3.0,48
3,1014,37,4,1.0,48
4,1514,64,1,5.0,48
1,1020,56,1,5.0,49
2,1009,38,4,1.0,49
3,1014,47,3,2.0,49
4,1514,54,2,3.0,49
1,1020,39,4,1.0,50
2,1009,62,1,4.0,50
3,1014,53,3,2.0,50
4,1514,62,1,4.0,50
1,1020,49,2,3.0,51
2,1009,64,1,5.0,51
3,1014,42,3,2.0,51
4,1514,39,4,1.0,51
1,1020,56,2,3.0,52
2,1009,38,4,1.0,52
3,1514,60,1,5.0,52
4,1014,43,3,2.0,52
1,1020,56,3,2.0,53
2,1009,32,4,1.0,53
3,1514,62,2,3.0,53
4,1014,64,1,5.0,53
1,1020,46,3,2.0,54
2,1009,43,4,1.0,54
3,1514,55,2,3.0,54
4,1014,64,1,5.0,54
1,1020,52,2,2.5,55
2,1009,53,1,5.0,55
3,1514,52,2,2.5,55
4,1014,47,4,1.0,55
1,1020,51,4,1.0,56
2,1014,57,2,3.0,56
3,1009,60,1,5.0,56
4,1514,54,3,2.0,56
1,1020,45,3,2.0,57
2,1014,36,4,1.0,57
3,1009,58,2,3.0,57
4,1514,64,1,5.0,57
1,1020,36,4,1.0,58
2,1014,50,2,3.0,58
3,1009,40,3,2.0,58
4,1514,64,1,5.0,58
1,1020,64,1,5.0,59
2,1014,59,2,3.0,59
3,1009,43,3,2.0,59
4,1514,26,4,1.0,59
1,1020,52,3,1.5,60
2,1014,59,1,5.0,60
3,1514,57,2,3.0,60
4,1009,52,3,1.5,60
1,1020,60,2,2.5,61
2,1014,48,4,1.0,61
3,1514,60,2,2.5,61
4,1009,64,1,5.0,61
1,1020,49,3,2.0,62
2,1014,56,2,3.0,62
3,1514,60,1,5.0,62
4,1009,45,4,1.0,62
1,1020,45,4,1.0,63
2,1014,62,2,3.0,63
3,1514,57,3,2.0,63
4,1009,64,1,5.0,63
1,1020,64,1,5.0,64
2,1514,31,4,1.0,64
3,1009,53,2,3.0,64
4,1014,50,3,2.0,64
1,1020,51,3,2.0,65
2,1514,45,4,1.0,65
3,1009,63,1,5.0,65
4,1014,52,2,3.0,65
1,1020,32,4,1.0,66
2,1514,64,1,5.0,66
3,1009,48,3,2.0,66
4,1014,60,2,3.0,66
1,1020,64,1,4.0,67
2,1514,36,4,1.0,67
3,1009,56,3,2.0,67
4,1014,64,1,4.0,67
1,1020,41,4,1.0,68
2,1514,50,3,2.0,68
3,1014,56,1,4.0,68
4,1009,56,1,4.0,68
1,1020,52,4,1.0,69
2,1514,55,1,5.0,69
3,1014,53,2,2.5,69
4,1009,53,2,2.5,69
1,1020,64,1,5.0,70
2,1514,60,3,2.0,70
3,1014,61,2,3.0,70
4,1009,38,4,1.0,70
1,1020,60,2,3.0,71
2,1514,58,3,2.0,71
3,1014,64,1,5.0,71
4,1009,42,4,1.0,71
1,1514,62,2,3.0,72
2,1009,64,1,5.0,72
3,1014,51,3,2.0,72
4,1020,39,4,1.0,72
1,1514,64,1,4.0,73
2,1009,42,4,1.0,73
3,1014,64,1,4.0,73
4,1020,56,3,2.0,73
1,1514,48,4,1.0,74
2,1009,60,1,5.0,74
3,1014,54,2,3.0,74
4,1020,52,3,2.0,74
1,1514,26,4,1.0,75
2,1009,50,3,2.0,75
3,1014,60,2,3.0,75
4,1020,63,1,5.0,75
1,1514,37,4,1.0,76
2,1009,64,1,5.0,76
3,1020,52,2,3.0,76
4,1014,40,3,2.0,76
1,1514,64,1,5.0,77
2,1009,52,3,2.0,77
3,1020,43,4,1.0,77
4,1014,56,2,3.0,77
1,1514,61,1,4.0,78
2,1009,61,1,4.0,78
3,1020,52,3,2.0,78
4,1014,44,4,1.0,78
1,1514,52,3,2.0,79
2,1009,58,1,4.0,79
3,1020,58,1,4.0,79
4,1014,44,4,1.0,79
1,1514,42,3,2.0,80
2,1014,34,4,1.0,80
3,1009,50,2,3.0,80
4,1020,59,1,5.0,80
1,1514,54,2,3.0,81
2,1014,60,1,5.0,81
3,1009,53,3,2.0,81
4,1020,50,4,1.0,81
1,1514,24,4,1.0,82
2,1014,61,1,5.0,82
3,1009,50,3,2.0,82
4,1020,60,2,3.0,82
1,1514,56,1,5.0,83
2,1014,46,4,1.0,83
3,1009,49,3,2.0,83
4,1020,50,2,3.0,83
1,1514,64,1,3.3333333333333335,84
2,1014,64,1,3.3333333333333335,84
3,1020,52,4,1.0,84
4,1009,64,1,3.3333333333333335,84
1,1514,42,4,1.0,85
2,1014,44,2,2.5,85
3,1020,44,2,2.5,85
4,1009,50,1,5.0,85
1,1514,55,2,2.5,86
2,1014,60,1,5.0,86
3,1020,53,4,1.0,86
4,1009,55,2,2.5,86
1,1514,50,2,3.0,87
2,1014,42,4,1.0,87
3,1020,64,1,5.0,87
4,1009,43,3,2.0,87
1,1514,45,4,1.0,88
2,1020,57,3,2.0,88
3,1009,64,1,4.0,88
4,1014,64,1,4.0,88
1,1514,55,3,2.0,89
2,1020,51,4,1.0,89
3,1009,56,2,3.0,89
4,1014,60,1,5.0,89
1,1514,46,2,3.0,90
2,1020,60,1,5.0,90
3,1009,44,3,1.5,90
4,1014,44,3,1.5,90
1,1514,48,2,2.5,91
2,1020,48,2,2.5,91
3,1009,63,1,5.0,91
4,1014,44,4,1.0,91
1,1514,35,4,1.0,92
2,1020,60,2,3.0,92
3,1014,64,1,5.0,92
4,1009,46,3,2.0,92
1,1514,59,1,5.0,93
2,1020,34,4,1.0,93
3,1014,56,2,3.0,93
4,1009,52,3,2.0,93
1,1514,56,3,2.0,94
2,1020,59,2,3.0,94
3,1014,55,4,1.0,94
4,1009,64,1,5.0,94
1,1514,52,4,1.0,95
2,1020,64,1,5.0,95
3,1014,58,2,3.0,95
4,1009,56,3,2.0,95
